Espresso,Coffee beans. Hot water,9,4,6,3.5,5.0,7.0
Capuccino,Espresso. Milk. Cocoa powder,19,11,3,4.0,5.5,8.0
Macchiato,Espresso. Milk. Caramel,15,13,8,4.5,6.0,9.0
Latte,Espresso. Milk,19,16,12,4.0,5.5,7.5
Americano,Espresso. Cold Water. Ice,12,15,8,4.0,5.5,7.5
Affogato,Espresso. Vanilla Ice Cream,9,12,8,6.0,8.0,10.0
Mocha,Espresso. Milk. Chocolate,15,9,12,5.0,7.5,9.0
Hot Chocolate,Milk. Chocolate. Vanilla,16,8,12,5.0,7.5,9.0
Black Tea,Hot Water. Oxidized camellia leaves,23,17,13,4.0,5.5,8.0
Green Tea,Hot Water. Unoxidized camellia leaves,18,18,16,4.0,5.5,8.0
Oolong Tea,Hot Water. Partially oxidized camellia leaves,16,16,12,5.0,7.5,9.0
Mint Tea,Hot Water. Mint leaves,19,17,13,4.5,7.0,8.0
